,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,contentAdvisoryRating,collectionArtistId,collectionArtistName,collectionArtistViewUrl,trackRentalPrice,collectionHdPrice,trackHdPrice,trackHdRentalPrice,longDescription
53,track,song,300783685.0,370322300,370322530,Andrea Cervetto,Bon Jovi,It's My Life,Bon Jovi,It's My Life,https://music.apple.com/id/artist/andrea-cervetto/300783685?uo=4,https://music.apple.com/id/album/its-my-life/370322300?i=370322530&uo=4,https://music.apple.com/id/album/its-my-life/370322300?i=370322530&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/49/fe/f3/49fef321-247b-f651-2236-e8a2a0e3c1a6/mzaf_10890143558179909021.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/100x100bb.jpg,79000.0,5000.0,2010-04-19T12:00:00Z,notExplicit,notExplicit,2,1,13,7,226122,IDN,IDR,Rock,True,,,,,,,,,
54,track,song,1333519160.0,1543480331,1543480336,Jon Bon Jovi,A Jon Bon Jovi Christmas - Single,Fairytale Of New York,A Jon Bon Jovi Christmas - Single,Fairytale Of New York,https://music.apple.com/id/artist/jon-bon-jovi/1333519160?uo=4,https://music.apple.com/id/album/fairytale-of-new-york/1543480331?i=1543480336&uo=4,https://music.apple.com/id/album/fairytale-of-new-york/1543480331?i=1543480336&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/47/43/f6/4743f6e8-0577-4be1-0545-f5ea47e35282/mzaf_16191653744013561234.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/58/05/06/5805062f-0218-35eb-b8b0-e7df816b7025/20UM1IM09683.rgb.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/58/05/06/5805062f-0218-35eb-b8b0-e7df816b7025/20UM1IM09683.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/58/05/06/5805062f-0218-35eb-b8b0-e7df816b7025/20UM1IM09683.rgb.jpg/100x100bb.jpg,19000.0,7000.0,2020-12-07T12:00:00Z,notExplicit,notExplicit,1,1,3,3,297791,IDN,IDR,Christmas,True,,,,,,,,,
55,track,song,1333519160.0,1543480331,1543480333,Jon Bon Jovi,A Jon Bon Jovi Christmas - Single,Christmas All Over Again,A Jon Bon Jovi Christmas - Single,Christmas All Over Again,https://music.apple.com/id/artist/jon-bon-jovi/1333519160?uo=4,https://music.apple.com/id/album/christmas-all-over-again/1543480331?i=1543480333&uo=4,https://music.apple.com/id/album/christmas-all-over-again/1543480331?i=1543480333&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/4d/ef/57/4def5773-5251-5550-68b9-74c0a48f8313/mzaf_6963769315022296060.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/58/05/06/5805062f-0218-35eb-b8b0-e7df816b7025/20UM1IM09683.rgb.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/58/05/06/5805062f-0218-35eb-b8b0-e7df816b7025/20UM1IM09683.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/58/05/06/5805062f-0218-35eb-b8b0-e7df816b7025/20UM1IM09683.rgb.jpg/100x100bb.jpg,19000.0,7000.0,2020-12-07T12:00:00Z,notExplicit,notExplicit,1,1,3,1,265367,IDN,IDR,Christmas,True,,,,,,,,,
56,track,song,122782.0,1440814436,1440814669,Bon Jovi,Bon Jovi,Come Back,Bon Jovi,Come Back,https://music.apple.com/id/artist/bon-jovi/122782?uo=4,https://music.apple.com/id/album/come-back/1440814436?i=1440814669&uo=4,https://music.apple.com/id/album/come-back/1440814436?i=1440814669&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/90/14/b9/9014b9a0-57cb-37ef-32f7-ff1059d4fbcd/mzaf_14768773996183312226.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/20/3d/a0/203da01c-8e71-74f6-c2e4-9e73cde2eff6/14UMGIM44514.rgb.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/20/3d/a0/203da01c-8e71-74f6-c2e4-9e73cde2eff6/14UMGIM44514.rgb.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/20/3d/a0/203da01c-8e71-74f6-c2e4-9e73cde2eff6/14UMGIM44514.rgb.jpg/100x100bb.jpg,49000.0,7000.0,1984-01-21T12:00:00Z,notExplicit,notExplicit,1,1,9,8,238802,IDN,IDR,Hard Rock,True,,,,,,,,,
57,track,song,122782.0,1440814436,1440814666,Bon Jovi,Bon Jovi,Burning For Love,Bon Jovi,Burning For Love,https://music.apple.com/id/artist/bon-jovi/122782?uo=4,https://music.apple.com/id/album/burning-for-love/1440814436?i=1440814666&uo=4,https://music.apple.com/id/album/burning-for-love/1440814436?i=1440814666&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ba/4f/3a/ba4f3a7e-5015-1223-819c-1830c28ff4a9/mzaf_8322189208322685724.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/20/3d/a0/203da01c-8e71-74f6-c2e4-9e73cde2eff6/14UMGIM44514.rgb.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/20/3d/a0/203da01c-8e71-74f6-c2e4-9e73cde2eff6/14UMGIM44514.rgb.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/20/3d/a0/203da01c-8e71-74f6-c2e4-9e73cde2eff6/14UMGIM44514.rgb.jpg/100x100bb.jpg,49000.0,7000.0,1984-01-21T12:00:00Z,notExplicit,notExplicit,1,1,9,7,233600,IDN,IDR,Hard Rock,True,,,,,,,,,
58,track,song,300783685.0,370322300,370322728,Andrea Cervetto,Bon Jovi,Dead or Alive,Bon Jovi,Dead or Alive,https://music.apple.com/id/artist/andrea-cervetto/300783685?uo=4,https://music.apple.com/id/album/dead-or-alive/370322300?i=370322728&uo=4,https://music.apple.com/id/album/dead-or-alive/370322300?i=370322728&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/67/a8/2b/67a82b38-4a04-f23b-32f6-6327dce87657/mzaf_3489517896266836261.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/100x100bb.jpg,79000.0,5000.0,2010-04-19T12:00:00Z,notExplicit,notExplicit,2,2,11,5,304106,IDN,IDR,Rock,True,,,,,,,,,
59,track,song,300783685.0,370322300,370322766,Andrea Cervetto,Bon Jovi,Someday i'll be saturday (Someday I'll Be Saturday),Bon Jovi,Someday i'll be saturday (Someday I'll Be Saturday),https://music.apple.com/id/artist/andrea-cervetto/300783685?uo=4,https://music.apple.com/id/album/someday-ill-be-saturday-someday-ill-be-saturday/370322300?i=370322766&uo=4,https://music.apple.com/id/album/someday-ill-be-saturday-someday-ill-be-saturday/370322300?i=370322766&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music/a1/f2/79/mzm.wflojmce.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/100x100bb.jpg,79000.0,5000.0,2010-04-19T12:00:00Z,notExplicit,notExplicit,2,2,11,8,280056,IDN,IDR,Rock,True,,,,,,,,,
60,track,song,300783685.0,370322300,370322702,Andrea Cervetto,Bon Jovi,One Wild Night,Bon Jovi,One Wild Night,https://music.apple.com/id/artist/andrea-cervetto/300783685?uo=4,https://music.apple.com/id/album/one-wild-night/370322300?i=370322702&uo=4,https://music.apple.com/id/album/one-wild-night/370322300?i=370322702&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music/75/f5/ad/mzm.kopdbmnl.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/100x100bb.jpg,79000.0,5000.0,2010-04-19T12:00:00Z,notExplicit,notExplicit,2,2,11,3,246120,IDN,IDR,Rock,True,,,,,,,,,
61,track,song,300783685.0,370322300,370322478,Andrea Cervetto,Bon Jovi,Bed of Roses,Bon Jovi,Bed of Roses,https://music.apple.com/id/artist/andrea-cervetto/300783685?uo=4,https://music.apple.com/id/album/bed-of-roses/370322300?i=370322478&uo=4,https://music.apple.com/id/album/bed-of-roses/370322300?i=370322478&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music/69/34/d3/mzm.mqyrlolw.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/100x100bb.jpg,79000.0,5000.0,2010-04-19T12:00:00Z,notExplicit,notExplicit,2,1,13,5,400068,IDN,IDR,Rock,True,,,,,,,,,
62,track,song,300783685.0,370322300,370322782,Andrea Cervetto,Bon Jovi,You Give Love a Bad Name,Bon Jovi,You Give Love a Bad Name,https://music.apple.com/id/artist/andrea-cervetto/300783685?uo=4,https://music.apple.com/id/album/you-give-love-a-bad-name/370322300?i=370322782&uo=4,https://music.apple.com/id/album/you-give-love-a-bad-name/370322300?i=370322782&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music/f7/cb/5d/mzm.uufprmdd.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/93/b8/d0/mzi.tvdwmlyz.jpg/100x100bb.jpg,79000.0,5000.0,2010-04-19T12:00:00Z,notExplicit,notExplicit,2,2,11,9,222122,IDN,IDR,Rock,True,,,,,,,,,
